Input URI,Classified Exercise,Distance,Processing Time
gs://strengthlog-videos/user_videos_embeddings/b3a4cfd9-d72c-402f-9d78-961857b82740.mov.json,pause-squat,0.65,0.47
gs://strengthlog-videos/user_videos_embeddings/b5a2ddb7-b4f9-403d-84a4-56a1b54e3fcc.mov.json,resistance-band-chest-fly,0.62,0.49
gs://strengthlog-videos/user_videos_embeddings/b8a401cc-1a87-418d-9ced-9e6669837548.mov.json,monkey-row,0.66,0.38
gs://strengthlog-videos/user_videos_embeddings/ba53e221-f32f-4992-9a2d-38c634fe002e.json,tricep-pushdown-with-rope,0.79,0.45
gs://strengthlog-videos/user_videos_embeddings/bbe82006-b500-414b-95e7-531f35d29382.mov.json,cable-chest-press,0.76,0.41
gs://strengthlog-videos/user_videos_embeddings/c4d2e4d1-81f3-47e8-b68c-badd5e4230f1.mov.json,pendlay-row,0.71,0.41
gs://strengthlog-videos/user_videos_embeddings/c725a3f6-ccab-4555-ae19-45f585bca8ed.mov.json,power-jerk,0.69,0.69
gs://strengthlog-videos/user_videos_embeddings/c815d33e-21c0-4f51-a988-10d1891e40e9.mov.json,pause-squat,0.65,0.37
gs://strengthlog-videos/user_videos_embeddings/ca54b4a6-b1ae-4d70-a1ec-be39a7fd581d.mov.json,pendlay-row,0.78,0.42
gs://strengthlog-videos/user_videos_embeddings/cb2bb696-e303-4b5b-bdc8-5ff9955e0e74.mov.json,pendlay-row,0.71,0.4
gs://strengthlog-videos/user_videos_embeddings/d2204d9d-7530-4785-8840-a5c1c09d2a94.mov.json,leg-press,0.72,0.43
gs://strengthlog-videos/user_videos_embeddings/d2233558-46f7-4014-a06b-4092cc40649e.mov.json,machine-glute-kickbacks,0.73,0.38
gs://strengthlog-videos/user_videos_embeddings/d228e8fe-6fc2-4127-bfe7-35e8a8a8e164.mov.json,monkey-row,0.61,0.36
gs://strengthlog-videos/user_videos_embeddings/db3ea36f-b760-4a50-85ad-4ac5d00c4325.mov.json,seated-smith-machine-shoulder-press,0.71,0.43
gs://strengthlog-videos/user_videos_embeddings/e18cdc8f-334f-47e7-ad95-1e1f63712a43.json,pause-squat,0.73,0.41
gs://strengthlog-videos/user_videos_embeddings/e545d99e-dde0-4cc6-ab4e-7bae0614fe37.json,power-clean,0.67,0.39
gs://strengthlog-videos/user_videos_embeddings/e5e1a241-2947-459e-aba5-1554ec39d9fa.json,pendlay-row,0.85,0.49
gs://strengthlog-videos/user_videos_embeddings/ec4c3705-f609-4846-a9d8-a81c1dbe504d.mov.json,dumbbell-decline-chest-press,0.76,0.46
gs://strengthlog-videos/user_videos_embeddings/ece62eeb-9075-4f65-8df8-0336f458acf2.mov.json,seated-smith-machine-shoulder-press,0.7,0.39
gs://strengthlog-videos/user_videos_embeddings/ecf34965-23a1-46b8-888a-8e7e0c75259c.json,barbell-walking-lunges,0.74,0.39
gs://strengthlog-videos/user_videos_embeddings/ed3e2255-6111-4903-82ad-e77721213f24.json,pendlay-row,0.79,0.63
gs://strengthlog-videos/user_videos_embeddings/edec3aa9-b880-484c-b3ce-3d3367dab01e.mov.json,pause-squat,0.65,0.65
gs://strengthlog-videos/user_videos_embeddings/exercises-videos_test-videos_b35bb9f2-70a5-4679-9aa7-3449331701cc.mov.json,seated-smith-machine-shoulder-press,0.71,0.39
gs://strengthlog-videos/user_videos_embeddings/f48eacae-5d8a-480a-9566-e0c08fcbb429.mov.json,hanging-leg-raise,0.8,0.36
gs://strengthlog-videos/user_videos_embeddings/f7ef4d90-6e2b-4208-ba4c-7b282736211f.json,leg-press,0.8,0.44
gs://strengthlog-videos/user_videos_embeddings/f82648b6-a436-4299-91a8-c44691b238ba.json,reverse-machine-fly,0.75,0.38
gs://strengthlog-videos/user_videos_embeddings/fb724b0e-68c1-4e20-ab79-94cbbfbd6f5e.json,push-ups-with-feet-in-rings,0.42,0.37
gs://strengthlog-videos/user_videos_embeddings/fc904cdd-196f-4f58-9a45-12808e417d17.json,monkey-row,0.75,0.4
